Уникальный ID заказа на возврат (srid),Дата заказа на возврат,Артикул WB,Бренд,Предмет,Размер,Баркод,Штрихкод,Тип возврата,Причина возврата,Статус возврата,"Тип статуса (0-архив, 1-актив)",Дата и время готовности,Дата и время выдачи,Дата и время истечения срока,ID ПВЗ выдачи,Адрес ПВЗ выдачи,Номер сборочного задания,Стикер заказа на возврат
9a55b16512c7427a8c6746a7c90a62d0,2026-05-13,420226037,ADRIANA CASA,Шторы интерьерные,0,2044039074975,53653816872,Возврат брака,,Выдано,0,2026-05-17 8:58:08,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,32290365096
9deb939553c24d31877bf384f5c4a5d7,2026-05-14,220985979,ADRIANA VIVO,Тюль,0,2039755197428,53616197525,Возврат брака,,Выдано,0,2026-05-15 17:05:26,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,49829035598
f616d319-fbc8-4740-8c4c-33df0eea2f3c.0.0,2026-05-14,244447355,ADRIANA LENTO,Тюль,0,2040681266119,53329461917,Возврат по инициативе продавца,,Выдано,0,2026-05-15 9:13:58,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,50606995074
f616d319-fbc8-4740-8c4c-33df0eea2f3c.1.0,2026-05-14,244447355,ADRIANA LENTO,Тюль,0,2040681266119,53329461920,Возврат по инициативе продавца,,Выдано,0,2026-05-15 9:16:27,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,50606995068
f616d319-fbc8-4740-8c4c-33df0eea2f3c.10.0,2026-05-14,246094579,VELO MONTI MILANO,Тюль,0,2040737560314,38387955470,Возврат по инициативе продавца,,Выдано,0,2026-05-15 9:24:56,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,47167787283
f616d319-fbc8-4740-8c4c-33df0eea2f3c.11.0,2026-05-14,246094579,VELO MONTI MILANO,Тюль,0,2040737560314,38387955473,Возврат по инициативе продавца,,Выдано,0,2026-05-15 9:24:30,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,47167787287
f616d319-fbc8-4740-8c4c-33df0eea2f3c.12.0,2026-05-14,246980226,VELO MONTI VERONA,Тюль,0,2040768276192,35943330723,Возврат по инициативе продавца,,Выдано,0,2026-05-16 9:49:27,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,30083852551
f616d319-fbc8-4740-8c4c-33df0eea2f3c.13.0,2026-05-14,246980226,VELO MONTI VERONA,Тюль,0,2040768276192,35943330776,Возврат по инициативе продавца,,Выдано,0,2026-05-16 9:36:01,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,30083852543
f616d319-fbc8-4740-8c4c-33df0eea2f3c.14.0,2026-05-14,247049487,VELO MONTI VERONA,Тюль,0,2040769367370,42742664902,Возврат по инициативе продавца,,Выдано,0,2026-05-17 18:30:04,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,44634748383
f616d319-fbc8-4740-8c4c-33df0eea2f3c.15.0,2026-05-14,247049487,VELO MONTI VERONA,Тюль,0,2040769367370,42742664906,Возврат по инициативе продавца,,Выдано,0,2026-05-16 12:42:46,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,48577944757
f616d319-fbc8-4740-8c4c-33df0eea2f3c.16.0,2026-05-14,246094439,VELO MONTI MILANO,Тюль,0,2040737560321,53381831299,Возврат по инициативе продавца,,Выдано,0,2026-05-17 8:55:08,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,52058846768
f616d319-fbc8-4740-8c4c-33df0eea2f3c.17.0,2026-05-14,246094439,VELO MONTI MILANO,Тюль,0,2040737560321,53381831300,Возврат по инициативе продавца,,Выдано,0,2026-05-17 8:55:15,2026-05-18T16:39:58.874,,211256,"Тверь, Улица Вагжанова 21",0,52058846764
