Товар,,,,,,,Статус,Готов к выдаче,Забрали,Истёк срок хранения,Информация,,,,,ПВЗ,
Бренд,Предмет,Баркод,Артикул WB,Штрихкод,Стикер,КИЗ,,,,,Тип,Дата заказа,Причина,Номер сборочного задания,Srid,Адрес,ID
ADRIANA FESTA,Шторы интерьерные,2048838836451,810348871,51552183267,50515161388,,Выдано,2026-03-26 09:48:22,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4806525927,mp.026fd135bc994f88bd93aae2856ad811.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048927912707,820169051,51552183270,50515161528,,Выдано,2026-03-26 09:42:55,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4806525929,mp.1cdd2a7aaa7b4c28889b4a0849bd01d7.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CALMA,Шторы интерьерные,2043749261842,396849766,51551589486,48623596969,,Выдано,2026-03-27 14:20:07,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4805931266,mp.1d396b35089e4c248952ba0805d9d14a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2037547980364,149519177,51407590711,42229162067,,Выдано,2026-03-30 08:56:31,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4798922010,mp.3d79f967ac504638bd7253e70cc2dc5e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755123298,220984041,51372699328,49136723964,,Выдано,2026-03-27 09:28:09,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4798396779,mp.522888858eab420d880919df1b8339c0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755123298,220984041,51372689521,49136723956,,Выдано,2026-03-27 09:27:48,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4798386924,mp.83a3d50653ab4444b5dfdadb6a76be22.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA FESTA,Шторы интерьерные,2048838837342,810348959,51421238084,45830057565,,Выдано,2026-03-26 10:25:41,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4800099047,mp.8bd15a4367364f1b9e805774507dd70a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2037265419139,139222137,50717693707,48944870145,,Выдано,2026-03-29 15:00:52,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4740632512,mp.8da826fdf42048e69c8b1317bb450cc7.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI PARMA,Тюль,2040400420570,237738171,51473658769,50505704692,,Выдано,2026-03-25 17:51:37,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4804351570,mp.9de9ab8a8d8a40c582c6578193a8d143.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2036881548469,105248698,51491684229,51491684229,,Выдано,2026-04-07 09:58:28,2026-04-10 11:07:37,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4805022545,mp.c55d807adf944468a9c9392271e77afb.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755123298,220984041,51372690411,49136723960,,Выдано,2026-03-27 09:31:29,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4798387819,mp.ce8e483afcf74ad19c818a6d3de0a8a0.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA STELLA,Шторы интерьерные,2038087023702,166694067,51300059254,46926663740,,Выдано,2026-03-27 09:08:07,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4788596122,mp.d27afe054a9c40448a3c858517e70974.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2037547980364,149519177,51407590262,42229162071,,Выдано,2026-03-30 08:56:39,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4798921561,mp.e8488b3dcf5149ec97112d09d5f17394.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040519493045,240119868,51358615727,49512353724,,Выдано,2026-04-01 13:09:45,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-23,,4796646174,mp.e87a3553f7304f1db36927b8964d2a35.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA DONNA,Шторы интерьерные,2040881379879,250639449,43419696150,48083239812,,Выдано,2026-03-26 09:35:37,2026-03-27 12:34:26,,Возврат брака,2026-03-24,,0,8559351372334db0876480c314e9454f,"Тверь, Улица Вагжанова 21",211256
ADRIANA LARGO,Тюль,2039755124349,220984112,51434933575,47080827897,,Выдано,2026-03-27 09:42:34,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4800570462,mp.12ec32b0d95b4378adee90732120b7be.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040586046885,241713164,51434933574,47080827901,,Выдано,2026-03-27 09:42:24,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4800570461,mp.13360c96f7824f829f90c99803d1b3c7.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757480873,181095869,51299841920,51299841920,,Выдано,2026-04-04 08:42:54,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4788378789,mp.7117a655811b4c21ab26661b2e96fbd7.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI ROMA,Тюль,2040637383136,242971159,51363537662,48950470338,,Выдано,2026-03-28 08:28:43,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4797275877,mp.7876fe8f6a2c44a29afa3e4f5f94c813.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481313,181095917,51323722396,49252802476,,Выдано,2026-03-28 11:33:35,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4793488653,mp.b3f8e2c7519a4c359f979e47b2c280e8.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2039755197367,220985950,51455436459,49137157242,,Выдано,2026-03-31 08:43:40,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4801463735,mp.ec7d6326c9fc485eb436eae5b440e0ef.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038937810582,188397344,51323722397,49252802484,,Выдано,2026-03-28 11:33:53,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-24,,4793488655,mp.f407062e7e324cf18624caaee4e14695.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481535,181096027,51008621304,49243345311,,Выдано,2026-03-30 09:21:00,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4766112721,mp.0779e55e863a405da2206c8081ae4266.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ALLEGRO,Тюль,2037385453884,143574534,51570110124,50505025548,,Выдано,2026-03-27 17:37:16,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4809601640,mp.1f1f2419031146b486878980c5b757c2.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040519491478,240119828,50865261876,44742063955,,Выдано,2026-03-29 09:40:44,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4753493712,mp.4229d77099c545d983872a30810b178a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA PRIMA,Шторы интерьерные,2040122102921,233524970,51474958122,49134057122,,Выдано,2026-03-27 09:11:40,2026-03-27 12:34:26,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4804598617,mp.7864e0fe2e7742659536b446a6574e1f.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646233,244226820,51475155899,50518112777,,Выдано,2026-04-05 08:43:27,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4804796477,mp.80029ec956c448bb931a0e7059c02551.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA CASA,Шторы интерьерные,2038757481993,181096055,51363572132,48939509733,,Выдано,2026-04-01 09:46:52,2026-04-03 11:28:53,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4797310583,mp.85257cc3f6a641a9b476491da71a9248.r,"Тверь, Улица Вагжанова 21",211256
VELO MONTI MILANO,Тюль,2040519491478,240119828,50865261875,44742063951,,Выдано,2026-03-29 09:40:40,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4753493711,mp.9068831da8814a18b418a9316c74783e.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673646233,244226820,51475158371,50518112781,,Выдано,2026-04-05 08:43:29,2026-04-06 11:17:24,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4804798952,mp.d0a4aa77335242aea9b0da9d293a600a.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA VIVO,Тюль,2037547868433,149517344,51363959573,48675362086,,Выдано,2026-03-29 15:04:58,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4797699725,mp.e8279a617a904d8f8b989931e7f2adb1.r,"Тверь, Улица Вагжанова 21",211256
ADRIANA ADAGIO,Тюль,2040673647346,244226779,50534296733,50222677427,,Выдано,2026-03-29 11:20:46,2026-03-31 11:51:30,,"Возврат товара, который приехал по МП, продавцу",2026-03-25,,4731520887,mp.edff4d7885e14772bdaa3a0d3162dafc.r,"Тверь, Улица Вагжанова 21",211256
