ID возврата/невыкупа,Номер заказа,Тип (Невыкуп/Возврат),Логистический статус,Статус возврата денег,Дата создания,Дата обновления,Срок хранения (до),Сумма,Валюта,Способ возврата,Название ПВЗ/Склада,Товары (Ваш SKU : кол-во)
26666045,57861751362,RETURN,PICKED,REFUNDED,2026-06-12T17:16:09.408+03:00,2026-06-16T14:16:05.57+03:00,,3832,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-270200V(Grey) (2 шт.)
107970841,57863509568,UNREDEEMED,PICKED,,2026-06-10T20:00:50.03+03:00,2026-06-16T14:16:05.119+03:00,,2864,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,BIAN-265150-LAT (1 шт.)
108055648,57614999296,UNREDEEMED,PICKED,,2026-06-11T16:44:05.992+03:00,2026-06-16T14:16:04.875+03:00,,1480,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-260200V(Milk) (2 шт.)
26638717,57635843459,RETURN,PICKED,REFUNDED,2026-06-10T13:25:35.54+03:00,2026-06-16T14:16:05.089+03:00,,793,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-150200 (1 шт.)
107944831,57885692480,UNREDEEMED,PICKED,,2026-06-10T16:58:14.21+03:00,2026-06-14T17:49:49.745+03:00,,3904,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-290250(Shamp) (2 шт.)
107729187,57492509248,UNREDEEMED,PICKED,,2026-06-08T17:24:37.01+03:00,2026-06-14T17:49:49.66+03:00,,3063,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-270600L(Shamp) (1 шт.)
107854239,57896558785,UNREDEEMED,PICKED,,2026-06-09T19:58:53.935+03:00,2026-06-14T17:49:49.624+03:00,,2280,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-150250 (2 шт.)
26549335,57603609730,RETURN,PICKED,REFUNDED,2026-06-02T21:21:07.374+03:00,2026-06-14T17:49:49.806+03:00,,1188,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-130300 (1 шт.)
107606611,57647779137,UNREDEEMED,PICKED,,2026-06-07T14:34:14.598+03:00,2026-06-14T17:49:39.601+03:00,,2875,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CANT-250200-LGR (1 шт.)
107015209,57544688771,UNREDEEMED,PICKED,,2026-06-01T20:37:10.228+03:00,2026-06-10T15:13:12.509+03:00,,3658,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CANT-260250-LGR (1 шт.)
107522939,57832317443,UNREDEEMED,PICKED,,2026-06-06T16:50:24.463+03:00,2026-06-10T15:13:01.843+03:00,,2265,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ALBA-270150-SIL (1 шт.)
107521474,57625440001,UNREDEEMED,PICKED,,2026-06-06T16:40:44.083+03:00,2026-06-10T15:13:01.497+03:00,,1196,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-140150(Grey) (2 шт.)
107068514,57505712963,UNREDEEMED,PICKED,,2026-06-02T13:11:35.37+03:00,2026-06-10T15:13:01.379+03:00,,7271,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CALM-280250-LAT (1 шт.)
107433168,57650290499,UNREDEEMED,PICKED,,2026-06-05T18:33:36.419+03:00,2026-06-10T15:13:01.369+03:00,,1107,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-270400(Shamp) (1 шт.)
26567162,57557820160,RETURN,PICKED,REFUNDED,2026-06-04T14:31:07.362+03:00,2026-06-10T15:13:02.396+03:00,,5614,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,CASA-230150-OLIV (1 шт.)
107456089,57631574720,UNREDEEMED,PICKED,,2026-06-05T22:33:45.432+03:00,2026-06-10T15:13:01.201+03:00,,1568,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-250200(Shamp) (2 шт.)
107411455,57626202242,UNREDEEMED,PICKED,,2026-06-05T15:42:51.319+03:00,2026-06-10T15:13:01.106+03:00,,2772,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-290150L(Grey) (4 шт.)
26593083,57725384579,RETURN,PICKED,REFUNDED,2026-06-06T17:26:42.708+03:00,2026-06-10T15:13:02.427+03:00,,4479,RUR,SHOP,Пункт выдачи заказов Яндекс Маркета,ADR-275700ALL (1 шт.)
